,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,ebitperRevenue,ebtperEBIT,niperEBT,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,eBTperEBIT,eBITperRevenue,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth,Sector,2015 PRICE VAR [%],Class
PG,74401000000,-0.0713,39030000000,35371000000,0,21461000000,21461000000,13910000000,709000000,14494000000,2851000000,142000000,-1127000000,11643000000,0,11643000000,4.19,4.01,2705960276,2705960276,2.448,0.4754,0.247,0.2043,0.156,0.1359,18344000000,15203000000,11785000000,0.1948,0.1565,8558000000,2128000000,10686000000,6386000000,6759000000,31617000000,22304000000,84547000000,0,1092000000,1.12649E+11,1.44266E+11,8461000000,15606000000,33726000000,19811000000,35417000000,0,10218000000,0,40564000000,74290000000,-7662000000,84990000000,69976000000,2128000000,24731000000,7786000000,9659000000,3141000000,360000000,13958000000,-3848000000,-24000000,-805000000,-4100000000,3543000000,-3911000000,-6911000000,-7279000000,39000000,2618000000,10110000000,-0.1163,3.0391,0,2.8583,18.7566,21.0348,15.2358,12.97750089,15.557842259876999,2.434644123,0.038152819,11.4211163,2.588601198,0.204338651,0.953364468,0.8032979163791899,0.475410277,1,0.186959853,0.156489832,0.196702084,0.5765,0.1664,0.0753,0.8032979163791899,0.953364468,0.204338651,1.5648,10.8869,3.335769369,0.5157209598935301,0.937,0.506196999,0.253750815,-63.2087,31.3287,,41.5084,,0.2455,0.5061,0.220644414,0.336046986,21.4429,0.39410452607505003,2.061649708,5.1582,3.964,3.1626,0.584,0.187605005,0.724315805,0.39410452607505003,0.8943995899013198,3.627338877,1.2973324658426002,0.5935755389504399,27.4952,4.3027,5.1582,3.964,3.1626,25.86,22.069000000000003,25.86,13.0885,2.12661E+11,2.37392E+11,18.7566,2.8583,15.2358,21.0348,3.0391,0,3.1907,12.9411,17.0076,23.480999999999998,0.0533,0.0475,0.5061,0.2455,1.3482,0.937,21.4429,1.1988,0.0311,0.584,0.2885,0,0.586,0.2757,0.0517,-1.2251,0.0048,49.3756,0.0753,0.5765,-0.2007,-2109000000,59719000000,-42673000000,52852000000,6447000000,8619000000,6834000000,31.3287,41.5084,-63.2087,11.5404,1.5648,10.8869,0.1664,-1.422,-0.1185,-0.0001,0.0067,0.0293,0.0371,0.0389,-0.0127,,0.0699,-0.0615,-0.0695,0.0323,0.0088,-0.0182,0.0355,0.0015,0.026000000000000002,0.0603,-0.0137,0.006,0.1442,0.0353,0.0201,0.1013,0.0834,0.0751,-0.0187,-0.0217,0.0359,0.0316,0.1228,0,-0.1746,Consumer Defensive,-9.323275997,0
VIPS,3734148046,1.1737,2805625443.9779997,928522602.5,108330319.7,344141427.2,793926703.3,134595899.3,12148692.28,175382305.5,39559573.78,-14319179.85,0,135822731.7,0,135822731.7,0.2396,0.226,,18293619.95,0,0.2487,0.0107,0.0502,0.0058,0.0704,245685825,187530997.7,121503551.8,0.047,0.0364,773514853.1,608385211.5,1381900065,11694866,579319341.3,2134396836,308597513.7,190658702,62993542.14,37641104.29,602290442.4,2736687278,1000490798,0,1639536810,622374071.7,622374071.7,31411042.94,0,0,661556667.7,2301093478,-1729254.117,4285437.52,412354536.6,671378753.6,,,639046012.3,58154827.25,36405230.87,526745560.2,-263704552.8,-192255247,-212644656.1,-686693574.4,619326767.8,1767839.845,0,621913626.1,-15648692.28,446316919.6,263041007.4,0.0956,,,0.0443,81.5526,1.3589,,0.678614802,2.631793143,0.09572661,0,7.136538133,0.866868925,0.050220557783090994,0.935217684,0.7744380558914399,0.24865714775014003,1,0.036044607,0.036373151,0.225561944,0.0403,0.3294,0,0.7744380558914399,0.935217684,0.050220557783090994,,,12.1003828,1.364477438,0.2102,0.8499930725766399,0.471788647,-75.367,1.1431,,97.7945,,0.2274,1.5093,0.6014853234669499,0.6014853234669499,15.4363,0.846348818,6.6367337686028005,35.6714,22.976,52.3827,0,0.141061777,0.499370146,0.846348818,,1.997483755,1.997483755,0,252.8778,9.198,35.6714,22.976,52.3827,0.7278,4.4939,27.9248,42.1474,6253200000,,81.5526,0.0443,,1.3589,,,,,,,0.0123,,1.5093,0.2274,,0.2102,15.4363,3.8782,0,0,0.0922,0.028999999999999998,0.0697,0.5006,0.0706,-4.5345,0.0097,,0,0.0403,0.0534,3065163000,2546028576,-166696641.9,755350984.8239999,,,,1.1431,97.7945,-75.367,,,,0.3294,-17.8582,1.2489,1.6142,1.9463,1.5649,1.4625,1.4646,0.0184,0.0195,0,0.2134,-0.3626,,,,,,,,,,,,,,,,,,,,,1.6484,1.7313,Consumer Defensive,-25.51219289,0
KR,98375000000,0.0182,78138000000,20237000000,0,15196000000,17512000000,2725000000,443000000,2270000000,751000000,12000000,0,1519000000,0,1519000000,1.47,1.45,1033052512,1028000000,0.307,0.2057,0.045,0.0276,0.015,0.0126,4416000000,2713000000,1531000000,0.0231,0.0154,401000000,0,401000000,1116000000,5651000000,8830000000,16893000000,2837000000,0,0,20451000000,29281000000,4881000000,1657000000,10705000000,9653000000,11310000000,0,1629000000,0,13181000000,23886000000,-464000000,10981000000,5384000000,0,10909000000,1662000000,4167000000,1703000000,107000000,3573000000,-2330000000,-2344000000,0,-4771000000,2093000000,-413000000,-319000000,1361000000,0,163000000,1243000000,-0.5969,3.3579,7.0982,0.1858,12.034,14.6302,5.1147,0,0,0,,2.276721014,0,0.027578144853874997,0.836712127,0.6691629955947099,0.205712834,1,0.027700127064802994,0.015440914866581999,0.33083700440528996,0.1011,0.2821,0.0859,0.6691629955947099,0.836712127,0.027578144853874997,4.9593,18.2227,5.823417983780299,3.3596871691540997,0.825,0.141709482,0.037459131,-26.3971,4.1407,,18.1099,,0.3863,2.1007,0.641949857,0.6774889181741899,6.1242,0.31591511936340005,5.438521545,3.4757,0.8370000000000001,0.3901,0.209,0.036320203303684996,0.34788692975090996,0.31591511936340005,2.156306578,1.5334763948498003,1.3488108720271998,0.210006583,95.6955,1.4776,3.4757,0.8370000000000001,0.3901,5.237,25.724,5.2374,11.0019,18274698937,29183698937,12.034,0.1858,5.1147,14.6302,3.3579,7.0982,0.2967,6.6086,8.1678,23.4784,0.0831,0.068,2.1007,0.3863,2.4703,0.825,6.1242,2.3522,0.0174,0.209,0.1545,0,0.0969,0.6521,0.0237,-1.3682,0.0011,13.2,0.0859,0.1011,-0.8239,-1875000000,26444000000,-15056000000,26648000000,1083500000,4682500000,5398500000,4.1407,18.1099,-26.3971,90.7937,4.9593,18.2227,0.2821,-2.2665,0.0173,-0.0145,-0.0141,0.0147,0.0576,0.0469,-0.0356,-0.0317,0.2429,0.2095,0.3935,0.1027,0.1038,0.1399,0.0889,0.0937,0.0946,0.2272,0.0906,0.1892,0.0676,0.0558,0.0789,0,0.1215,0.1633,0.0618,0.0981,0.1886,0.3268,0.2738,0,0.0234,Consumer Defensive,33.11829671550496,1
RAD,25526413000,0.0053,18202679000,7323734000,0,6561162000,6586482000,737252000,424591000,250218000,804000,0,0,249414000,33998000,215416000,4.6,4.6,48326279,48326279,0,0.2869,0.042,0.0264,0.008,0.0144,1078550000,674809000,249414000,0.0098,0.0098,146406000,0,146406000,949062000,2993948000,4285125000,1957329000,431227000,0,0,2659746000,6944871000,1292419000,49174000,2507452000,5707969000,5757143000,0,0,0,6551121000,9058573000,-37334000,-7515848000,-2113702000,0,5610737000,195709000,1165859000,403741000,-10471000,702046000,-333870000,0,41155000,-364924000,-295435000,33217000,0,-320168000,0,16954000,368176000,-0.8822,0,0,0.2491,28.6087,17.2736,9.0589,0,0,0,,5.428005192156099,,0.026435715821098996,0.37079825550636997,0.9967868019087399,0.286908074,1,0.028881927123877996,0.009770821,0.003213198,0.0668,-0.118,0.1062,0.9967868019087399,0.37079825550636997,0.026435715821098996,4.9289,8.302999999999999,13.04145241,3.6755777033152004,1.709,0.436884933,0.058388355988469996,-60.0346,13.5706,,18.4802,,0.8290000000000001,-2.7237,1.5880759554033999,1.58013894,1.5893,0.121943471,,14.5272,0.557,3.0295,0,0.027502728252497003,0.5244328719200699,0.121943471,14.276772278032999,2.1027525683648998,2.1027525683648998,0,528.2098,5.1610000000000005,14.5272,0.557,3.0295,-43.738,134.785,-43.7381,119.1307,6359738316,11970475316,28.6087,0.2491,9.0589,17.2736,0,0,0.4689,11.0987,17.0508,32.5129,0.035,0.0579,-2.7237,0.8290000000000001,5.2021,1.709,1.5893,3.259,0,0,0.257,0,0.0621,0.4756,0.0131,-0.8269,-0.0004,0,0.1062,0.0668,-0.7506,1777673000,6513644000,-4773448000,9616929000,939269000,1338531500,3074345000,13.5706,18.4802,-60.0346,27.1769,4.9289,8.302999999999999,-0.118,-6.9087,0.0007,0.2904,0.1113,1.0043,0.9167,0.9167,0.0694,,0,-0.1434,-0.2691,-0.0195,-0.029,-0.023,0.0513,0.1164,0.1777,0.048,0,0,0,0,0,0,0,0,0.0211,-0.051,-0.0189,0.1963,-0.0458,0,-0.006,Consumer Defensive,2.7522914680574364,1
GIS,17909600000,0.0076,11539800000,6369800000,0,3474300000,3412400000,2957400000,302400000,2707700000,883300000,36900000,0,1824400000,0,1824400000,2.9,2.83,614492206,614492206,1.55,0.3557,0.201,0.1681,0.102,0.1052,3595500000,3010100000,1861300000,0.1512,0.1019,867300000,0,867300000,1483600000,1559400000,4393500000,3941900000,13664800000,0,74100000,18752200000,23145700000,1611300000,2362300000,5423500000,6423500000,8785800000,0,1666000000,0,9732700000,15156200000,-1340300000,11787200000,6534800000,0,7918500000,483200000,1449900000,585400000,39200000,2541000000,-656900000,66700000,29300000,-561800000,801100000,-1637200000,-983300000,-1824100000,-29200000,125900000,1884100000,-0.2376,5.1004,0,1.861,18.7034,17.6902,13.1169,10.952350202753001,15.254287363076001,1.553910856,0.035332474,9.767966031,4.258725878,0.16807187206860996,0.899538221,0.673782177,0.355664001,1,0.165129316,0.10186715504534001,0.326217823,0.6265,0.2792,0.1041,0.673782177,0.899538221,0.16807187206860996,2.8234,11.5363,4.54339278,0.773776555,0.81,0.433465474,0.159915184,-49.3233,30.236,,32.8385,,0.3796,1.3445,0.495705455,0.57346318,9.954,0.289216691,3.5419140601090002,4.1351,3.6239999999999997,1.4114,0.534,0.141879216,0.7414797323888199,0.289216691,1.075646616,3.8681686710306002,1.549201317,0.538971717,29.1454,2.969,4.1351,3.6239999999999997,1.4114,10.634,15.429,10.6345,14.2977,33330057253,41248557253,18.7034,1.861,13.1169,17.6902,5.1004,0,2.3032,11.4723,16.2332,21.893,0.0535,0.0565,1.3445,0.3796,2.2023,0.81,9.954,1.3928,0.0286,0.534,0.19399999999999998,0,0.5904,0.2585,0.0367,-1.1221,0.0022,26.3414,0.1041,0.6265,-0.3229,-1030000000,9480900000,-10762700000,11975900000,1465000000,1517250000,1552450000,30.236,32.8385,-49.3233,12.225,2.8234,11.5363,0.2792,-1.069,-0.0084,0.0332,0.037000000000000005,-0.0166,0.013999999999999999,0.0143,-0.0468,,0.1742,-0.1316,-0.1936,0.0704,0.0567,0.0773,0.0782,0.0828,0.1991,0.0776,0.0841,0.0177,0.0427,0.0623,0.0217,0.1092,0.125,0.1144,0.0257,0.009,0.0215,0.0274,0.1025,0,-0.022,Consumer Defensive,12.897715165910551,1
PM,80106000000,0.001,60775000000,19331000000,0,7001000000,7629000000,11702000000,1052000000,10590000000,3097000000,165000000,0,7493000000,0,7493000000,4.76,4.76,1553715140,1553715140,3.88,0.2413,0.156,0.1453,0.094,0.0822,12531000000,11642000000,7658000000,0.1322,0.0935,1682000000,0,1682000000,4004000000,8592000000,15484000000,6071000000,11373000000,1083000000,533000000,19703000000,35187000000,1242000000,2526000000,15112000000,26929000000,29455000000,0,8275000000,0,31278000000,46390000000,-6826000000,29249000000,-12629000000,1083000000,27773000000,1206000000,11344000000,889000000,0,7739000000,-1153000000,-110000000,-29000000,-996000000,3271000000,-3833000000,-6035000000,-6839000000,-376000000,-472000000,6586000000,-0.2195,0,0,1.5798,17.1113,19.215,16.3523,13.450768343027999,13.8923657,1.299471902,0.057975611048694004,10.590255861998001,,0.145332435,0.909637519,0.7075542965061401,0.24131775397598001,1,0.14608144208923002,0.093538561,0.292445703,1.163,-0.5933,0.3752,0.7075542965061401,0.909637519,0.145332435,15.8514,8.6892,13.194860813703999,2.276579419,1.025,0.376257279,0.111302276,-51.6015,18.2441,,5.6591,,0.8371,-2.3323,1.883146853,1.750564602,11.0665,0.26273977253437003,,4.981,4.239,1.0826,0.815,0.096609492,0.851014343,0.26273977253437003,3.063737134,6.712055507372099,1.076655537,0.8054183904978001,51.5577,4.8226,4.981,4.239,1.0826,-8.128,15.327,-8.1283,18.9578,1.2655E+11,1.54323E+11,17.1113,1.5798,16.3523,19.215,0,0,1.9265,12.3153,19.941,23.432,0.0584,0.052000000000000005,-2.3323,0.8371,2.2163,1.025,11.0665,1.0328,0.0476,0.815,0.0874,0,0.3232,0.149,0.0144,-1.297,0,0,0.3752,1.163,-0.2442,372000000,23814000000,-30906000000,36475000000,3928500000,1258000000,9219000000,18.2441,5.6591,-51.6015,20.391,15.8514,8.6892,-0.5933,-0.7421,-0.0709,-0.1193,-0.1341,-0.1263,-0.0951,-0.0951,-0.0302,,0.0838,-0.2364,-0.2629,,0.0961,0.0546,,0.0377,-0.0634,,0.0769,-0.0084,,0,0,0,0.1161,0.1122,0.0392,-0.1274,-0.0781,-0.6769,0.0642,0,0.0161,Consumer Defensive,13.980936777937483,1
KO,45998000000,-0.0183,17889000000,28109000000,0,17218000000,18401000000,9708000000,483000000,9299000000,2201000000,26000000,0,7098000000,0,7098000000,1.62,1.6,4380112851,4387000000,1.22,0.6111,0.256,0.2127,0.154,0.1833,11758000000,9782000000,7124000000,0.2022,0.1543,18010000000,3665000000,21675000000,4466000000,3100000000,32986000000,14633000000,26372000000,13625000000,0,59037000000,92023000000,9234000000,22682000000,32374000000,19063000000,41745000000,0,6036000000,0,29088000000,61462000000,-5777000000,63408000000,30320000000,17290000000,20070000000,3745000000,458000000,1976000000,209000000,10615000000,-2183000000,-241000000,-4814000000,-7506000000,4712000000,-2630000000,-5350000000,-3631000000,-934000000,-1456000000,8432000000,-0.1085,6.0879,46.7543,4.0204,26.0617,21.9662,17.4214,15.16116617,22.67339799,3.4987560089568994,0.033243074,16.8403452,5.3079082750660005,0.21266142,0.9506235943569801,0.7633078825680201,0.611091787,1,0.21105265446323998,0.15431105700248002,0.236692117,0.4656,0.2341,0.1004,0.7633078825680201,0.9506235943569801,0.21266142,1.1559,14.4262,3.143442903,0.49985329754518004,1.0190000000000001,0.8074689565700899,0.5563106196330401,-63.2512,35.4383,,73.273,,0.4536,1.3768,0.38602353036470005,0.579268716,20.2526,0.25428195,3.035059367,2.4196,1.922,4.1053,0.753,0.230770903,0.794347621,0.25428195,0.46799224054315997,4.862574439,1.409133147,0.753733446,10.4851,1.618,2.4196,1.922,4.1053,6.9110000000000005,14.965,6.9113,9.5156,1.84928E+11,2.04998E+11,26.0617,4.0204,17.4214,21.9662,6.0879,46.7543,4.4567,17.4348,19.3121,24.311999999999998,0.0384,0.0456,1.3768,0.4536,1.7069,1.0190000000000001,20.2526,1.4955,0.0289,0.753,0.3743,0,0.2866,0.2057,0.0475,-1.1048,0.0045,15.8991,0.1004,0.4656,-0.154,612000000,65651000000,-28476000000,57012000000,4669500000,9405500000,3188500000,35.4383,73.273,-63.2512,9.8507,1.1559,14.4262,0.2341,-0.4976,-0.0114,-0.1778,-0.0508,-0.1731,-0.1649,-0.1579,-0.0106,-0.0131,0.0893,0.0069,0.0406,0.0887,0.0938,0.0096,0.07,0.0647,0.0527,0.0494,0.0187,-0.0487,0.0772,0.0522,-0.0007,0.0933,0.0827,0.0908,-0.0835,-0.054,0.0219,-0.0763,0.1258,0,-0.0053,Consumer Defensive,5.339412837835392,1
WMT,4.76294E+11,0.0163,3.58069E+11,1.18225E+11,0,91353000000,91353000000,26872000000,2335000000,24127000000,8105000000,673000000,-144000000,16022000000,0,16022000000,4.9,4.88,3235772430,3269000000,1.88,0.2482,0.074,0.0556,0.034,0.0228,35332000000,26462000000,16695000000,0.0507,0.0336,7281000000,0,7281000000,6677000000,44858000000,61185000000,1.17907E+11,19510000000,0,0,1.43566E+11,2.04751E+11,37415000000,12082000000,69345000000,44559000000,56641000000,0,8983000000,0,54067000000,1.23412E+11,-2996000000,76566000000,76255000000,0,49360000000,2369000000,19848000000,8870000000,0,23257000000,-12388000000,0,0,-12526000000,3015000000,-6683000000,-6139000000,-10789000000,-442000000,-500000000,10869000000,-0.2043,3.1721,4.2627,0.5073,15.2408,22.461,10.3903,0,0,0,,1.467225178,0,0.055558121664349994,0.91176026,0.6640693,0.248218537,1,0.056418935,0.033638887,0.3359307,0.146,0.2101,0.1243,0.6640693,0.91176026,0.055558121664349994,3.4361,10.7442,4.039573562,2.326210861,0.882,0.201283438,0.104996755,-45.7263,5.1168,,28.6724,,0.2766,0.7428,0.36882315,0.42620545388875997,11.3328,0.41060362634840003,2.685082945,7.1144,3.92,2.2273,0.384,0.048829085,0.467343165,0.41060362634840003,1.924929647,1.8773813367774999,1.255303071,0.383160654,145.7002,4.9012,7.1144,3.92,2.2273,23.326999999999998,56.666000000000004,23.3267,17.3267,2.41647E+11,2.91007E+11,15.2408,0.5073,10.3903,22.461,3.1721,4.2627,0.611,8.2364,12.5127,26.7741,0.0656,0.045,0.7428,0.2766,1.3969999999999998,0.882,11.3328,1.4516,0.0252,0.384,0.1918,0,0.0953,0.5327,0.026000000000000002,-1.3966,0,50.9472,0.1243,0.146,-0.2575,-8160000000,1.85241E+11,-62227000000,1.65256E+11,6722500000,37747500000,44330500000,5.1168,28.6724,-45.7263,70.8507,3.4361,10.7442,0.2101,-3.7895,0.0161,-0.0273,-0.0308,-0.0575,-0.0278,-0.0279,-0.0311,-0.0313,0.1824,-0.0912,-0.1781,0.0941,0.0726,0.0809,0.0685,0.039,0.0323,0.0897,0.0761,0.0302,0.0884,0.0707,0.0756,0.1797,0.1463,0.1582,-0.0134,0.0241,0.0081,0.0309,0.0463,0,0.0307,Consumer Defensive,-26.65370179,0
MDLZ,34244000000,-0.0299,21647000000,12597000000,0,8457000000,9355000000,3242000000,688000000,2537000000,353000000,17000000,0,2184000000,0,2184000000,1.29,1.28,1679923170,1679923170,0.58,0.3679,0.125,0.0942,0.064,0.0563,4284000000,3225000000,2201000000,0.0741,0.0638,1631000000,0,1631000000,4751000000,3480000000,11750000000,9827000000,43724000000,662000000,480000000,55021000000,66771000000,5299000000,2835000000,14007000000,13821000000,16656000000,0,5512000000,0,24911000000,38918000000,-7318000000,14529000000,27750000000,662000000,15025000000,1888000000,5873000000,1059000000,141000000,3562000000,-1635000000,-7000000,0,-1642000000,-218000000,-1700000000,-964000000,-2688000000,-223000000,-991000000,1927000000,-0.2462,2.1993,0,1.7823,28.1628,31.6718,17.1341,15.80599245,25.778821025356997,1.644111235,0.01712227,16.74905348,2.028862887,0.094177082,0.786666667,0.8608592826172601,0.36786006307673996,1,0.094673519,0.063777596,0.13914071738273998,0.2885,0.0787,0.0376,0.8608592826172601,0.786666667,0.094177082,1.6592,9.4819,3.484685051,0.512857378,0.8390000000000001,0.45562932819304997,0.116441779,-58.6779,50.64,,56.481,,0.2494,0.6002,0.332467345,0.375084448,4.6875,0.213856868,2.4061621621622002,2.1203,1.147,0.9709,0.45,0.104018222,0.540988209,0.213856868,1.25643739,2.178593272,1.3705271258176002,0.441391941,20.3843,1.3001,2.1203,1.147,0.9709,16.519000000000002,13.719000000000001,16.5186,9.9147,61031608766,76056608766,28.1628,1.7823,17.1341,31.6718,2.1993,0,2.221,17.7536,21.3522,39.4689,0.0355,0.0316,0.6002,0.2494,3.5072,0.8390000000000001,4.6875,1.631,0.016,0.45,0.247,0,0.6548,0.45899999999999996,0.0477,-1.5439,0.0041,21.8967,0.0376,0.2885,-0.4451,-2257000000,23047000000,-27168000000,24065000000,5077000000,5322000000,3611500000,50.64,56.481,-58.6779,6.7449,1.6592,9.4819,0.0787,-0.9733,-0.0391,-0.4193,-0.1774,-0.4421,-0.4163,-0.4155,-0.0421,,0.0741,-0.4443,-0.6092,0.0081,-0.0494,0.0019,-0.01,-0.0925,-0.0607,-0.018,-0.0868,-0.1354,-0.0057,-0.0118,-0.0607,-0.0279,-0.1294,-0.2063,-0.1207,-0.0703,-0.0792,-0.1051,-0.0248,0,-0.0256,Consumer Defensive,23.80981774,1
MO,24522000000,0.0023,14362000000,10160000000,0,2539000000,2540000000,7620000000,808000000,7774000000,2704000000,0,0,5070000000,0,5070000000,2.56,2.56,1976470062,1976470062,2,0.4143,0.358,0.35,0.207,0.1835,8790000000,8582000000,5070000000,0.317,0.2068,3321000000,0,3321000000,124000000,2040000000,6878000000,1983000000,17334000000,7797000000,1143000000,27597000000,34475000000,416000000,1000000000,7673000000,13693000000,14693000000,0,6088000000,0,23757000000,31430000000,-2682000000,26277000000,3014000000,7797000000,11372000000,1393000000,6257000000,208000000,0,4663000000,-163000000,-102000000,369000000,177000000,174000000,-939000000,-3892000000,-4694000000,0,146000000,4500000000,-0.1168,32.3094,0,3.9712,19.2461,21.6402,20.8837,17.4577451,16.05630481,3.3196911093962003,0.047810058,11.19675374,27.0091126,0.3499714542043901,0.905849452,0.652173913,0.414321833,1,0.310741375,0.20675312,0.347826087,4.2677,1.6821,0.1948,0.652173913,0.905849452,0.3499714542043901,15.1709,12.5144,12.36611195,0.711298042,0.8959999999999999,0.448976932,0.43281636908640997,-51.8451,1.8457,,6.192,,0.4262,4.8749,0.819596576,0.829784831,10.6213,0.31736200911998996,11.43828799,2.3593,2.2769999999999997,1.6803,0.7809999999999999,0.190155778,0.965043963,0.31736200911998996,4.663,28.60736196,1.1499383477188998,0.7676528599605501,12.407,2.5652,2.3593,2.2769999999999997,1.6803,1.525,8.673,1.5249,7.434,97380679955,1.08753E+11,19.2461,3.9712,20.8837,21.6402,32.3094,0,4.4349,12.3723,23.3225,24.1673,0.052000000000000005,0.0462,4.8749,0.4262,1.2937,0.8959999999999999,10.6213,0.9197,0.0406,0.7809999999999999,0.1035,0,0.5028,0.035,0.0066,-0.7837,0,9.3723,0.1948,4.2677,-0.2521,-795000000,17141000000,-24552000000,20840000000,119500000,412500000,1959500000,1.8457,6.192,-51.8451,205.205,15.1709,12.5144,1.6821,-0.0825,-0.0284,0.074,-0.0574,0.11800000000000001,0.1327,0.1327,-0.0118,,0.087,0.0658,0.0603,-0.1182,0.0177,0.0235,-0.0778,0.0726,0.1065,-0.0565,0.1064,0.1588,-0.2042,-0.0493,-0.0519,-0.0338,0.0867,0.0817,0.0783,0.0857,-0.011,-0.2593,0.0121,0,0.085,Consumer Defensive,23.865489302331603,1
